variable_name,mean_decrease_gini
tgt_download,510.7162
tgt_first_date_any_download,428.7510
tgt_hol,408.5390
tgt_first_date_hol_page_view,173.6971
tgt_more_than1,50.3140
tot_visits_l30d,21.4405
tot_visits,20.5849
tot_visits_l90d,20.2715
purchase_events,20.0630
tot_page_views,19.6259
product_view_events,19.30
tot_other_ref_page_views,19.2347
checkout_s1_events,18.6072
tot_page_views_l90d,18.4656
file_download_events,17.9910
log_in_events,17.6082
tot_internal_ref_page_views,17.5368
tot_page_views_l30d,16.7729
tot_windows_page_views,16.2125
tot_prod10_blog_page_views,14.3493
tot_last_touch_internal_views,13.6819
tot_last_touch_natural_search_views,13.0157
tot_last_touch_direct_views,12.8897
tot_google_browser_page_views,12.4708
tot_search_engine_ref_page_views,12.2559
cart_view_events,12.1639
tot_google_se_page_views,11.8808
natural_search_events,11.5166
pdf_downloads,11.4983
tot_prod10_downloads,11.2686
tot_first_touch_direct_views,11.1373
tot_first_touch_natural_search_views,11.0614
tot_last_touch_referring_domain_views,11.0412
downloads,10.8946
tot_prod10_hol_page_views,10.2302
tgt_webinar,8.9284
db_annualsales,8.1819
tot_microsoft_browser_page_views,7.9484
tot_first_touch_internal_views,7.9243
db_employeerange,7.6723
tot_mozilla_browser_page_views,7.5574
internal_search_events,7.4272
tot_prod3_blog_page_views,7.3981
tot_last_touch_src_codes_views,6.8823
final_vertical_dunssite,6.8207
tot_prod10_resources_page_views,6.2013
datasheet_downloads,6.1773
tot_prod10_hol_reg,6.1451
campaign_view_events,6.1422
idc_verticals,5.8499
tot_last_touch_cid_codes_views,5.6525
campaign_src_events,5.6283
tot_prod3_downloads,5.4947
tot_prod3_features_page_views,5.2706
tgt_first_date_eval_page_view,5.2281
video_view_events,5.1648
tot_osx_page_views,4.7093
cart_open_events,4.6159
cart_add_events,4.3697
tot_first_touch_referring_domain_views,4.3351
highest_prodA_edition,4.3284
form_success_events,4.2932
prodV_booking_pct,3.9464
tot_prod13_downloads,3.9329
tot_social_media_ref_page_views,3.8485
total_bookings_amount,3.6810
channel_total,3.6531
download_trial_events,3.5671
prodA_booking_pct,3.5567
num_order_lines,3.5202
tot_apple_browser_page_views,3.5011
tot_prod13_blog_page_views,3.4636
tot_prod3_resources_page_views,3.4189
total_prodV_bookings_amount,3.3090
tot_prod10_features_page_views,3.2901
tot_prod13_resources_page_views,3.2607
tot_prod13_features_page_views,3.2390
gu_emp_segment_desc,3.2090
num_orders,3.1673
support_search_events,3.1333
linkedin_views,3.0915
derived_total_employees,3.0291
sum_num_of_employees,3.0093
email_views,2.9922
gu_emp_segment,2.9895
organic_social_views,2.9812
num_any_campaign_responses,2.9535
tot_first_touch_src_codes_views,2.9474
new_segment,2.9362
total_2014_bookings_amount,2.9340
tot_prod14_evals_page_views,2.8783
num_mission_sddc,2.8706
channel_partner_total_pct,2.8382
tot_baidu_se_page_views,2.7988
tot_prodQ_os_page_views,2.7699
prodA_5x_booking_pct,2.7482
total_employees,2.7266
tot_prod11_blog_page_views,2.6679
prodA_qty,2.5986
tgt_first_date_whitepaper_download,2.5874
tot_prod3_hol_page_views,2.5657
total_2013_bookings_amount,2.5651
tgt_whitepaper,2.5105
total_2015_bookings_amount,2.5037
form_abandon_events,2.4652
tot_last_touch_social_network_views,2.4486
twitter_views,2.4414
prodA_2014_bookings_amount,2.4320
whitepaper_downloads,2.4301
num_mission_euc,2.3386
channel_direct_total_pct,2.3374
num_departments,2.3237
prodA_2013_bookings_amount,2.3162
prodG_booking_pct,2.2968
tot_prod14_downloads,2.2581
prodA_ent_booking_pct,2.2576
tot_linux_page_views,2.2522
tot_ios_page_views,2.1944
